2024-03-19 20:38:31 : scalar : MinMaxScalar
2024-03-19 20:38:31 : train test split : 0.25
2024-03-19 20:38:31 : random state : 15
2024-03-19 20:38:31 : epochs : 100
2024-03-19 20:38:31 : learning rate : 0.001
2024-03-19 20:38:31 : activation function : sigmoid
2024-03-19 20:38:31 : loss function : mean_squared_error
2024-03-19 20:38:31 : Optimizer : Adam

2024-03-19 20:38:31 : The accuracy and error with respect to the epochs
Epoch : 1 	 Error : 0.40156 	 Accuracy : 0.793413
Epoch : 2 	 Error : 0.155857 	 Accuracy : 0.805389
Epoch : 3 	 Error : 0.15116 	 Accuracy : 0.812874
Epoch : 4 	 Error : 0.149954 	 Accuracy : 0.811377
Epoch : 5 	 Error : 0.14917 	 Accuracy : 0.811377
Epoch : 6 	 Error : 0.148445 	 Accuracy : 0.812874
Epoch : 7 	 Error : 0.147557 	 Accuracy : 0.812874
Epoch : 8 	 Error : 0.146432 	 Accuracy : 0.814371
Epoch : 9 	 Error : 0.145289 	 Accuracy : 0.815868
Epoch : 10 	 Error : 0.144289 	 Accuracy : 0.815868
Epoch : 11 	 Error : 0.14339 	 Accuracy : 0.814371
Epoch : 12 	 Error : 0.142501 	 Accuracy : 0.818862
Epoch : 13 	 Error : 0.141529 	 Accuracy : 0.820359
Epoch : 14 	 Error : 0.14045 	 Accuracy : 0.821856
Epoch : 15 	 Error : 0.139359 	 Accuracy : 0.826347
Epoch : 16 	 Error : 0.138362 	 Accuracy : 0.827844
Epoch : 17 	 Error : 0.137503 	 Accuracy : 0.827844
Epoch : 18 	 Error : 0.136776 	 Accuracy : 0.827844
Epoch : 19 	 Error : 0.136163 	 Accuracy : 0.827844
Epoch : 20 	 Error : 0.13564 	 Accuracy : 0.832335
Epoch : 21 	 Error : 0.135191 	 Accuracy : 0.830838
Epoch : 22 	 Error : 0.134801 	 Accuracy : 0.829341
Epoch : 23 	 Error : 0.134459 	 Accuracy : 0.830838
Epoch : 24 	 Error : 0.134158 	 Accuracy : 0.830838
Epoch : 25 	 Error : 0.133891 	 Accuracy : 0.830838
Epoch : 26 	 Error : 0.133653 	 Accuracy : 0.830838
Epoch : 27 	 Error : 0.133442 	 Accuracy : 0.830838
Epoch : 28 	 Error : 0.133251 	 Accuracy : 0.829341
Epoch : 29 	 Error : 0.133075 	 Accuracy : 0.827844
Epoch : 30 	 Error : 0.132903 	 Accuracy : 0.826347
Epoch : 31 	 Error : 0.13273 	 Accuracy : 0.826347
Epoch : 32 	 Error : 0.132558 	 Accuracy : 0.826347
Epoch : 33 	 Error : 0.13239 	 Accuracy : 0.826347
Epoch : 34 	 Error : 0.13223 	 Accuracy : 0.826347
Epoch : 35 	 Error : 0.13208 	 Accuracy : 0.826347
Epoch : 36 	 Error : 0.131939 	 Accuracy : 0.826347
Epoch : 37 	 Error : 0.131806 	 Accuracy : 0.826347
Epoch : 38 	 Error : 0.131679 	 Accuracy : 0.827844
Epoch : 39 	 Error : 0.131558 	 Accuracy : 0.827844
Epoch : 40 	 Error : 0.13144 	 Accuracy : 0.826347
Epoch : 41 	 Error : 0.131326 	 Accuracy : 0.826347
Epoch : 42 	 Error : 0.131214 	 Accuracy : 0.826347
Epoch : 43 	 Error : 0.131103 	 Accuracy : 0.826347
Epoch : 44 	 Error : 0.130994 	 Accuracy : 0.826347
Epoch : 45 	 Error : 0.130886 	 Accuracy : 0.826347
Epoch : 46 	 Error : 0.130778 	 Accuracy : 0.826347
Epoch : 47 	 Error : 0.130671 	 Accuracy : 0.826347
Epoch : 48 	 Error : 0.130564 	 Accuracy : 0.826347
Epoch : 49 	 Error : 0.130458 	 Accuracy : 0.826347
Epoch : 50 	 Error : 0.13035 	 Accuracy : 0.827844
Epoch : 51 	 Error : 0.130243 	 Accuracy : 0.826347
Epoch : 52 	 Error : 0.130135 	 Accuracy : 0.829341
Epoch : 53 	 Error : 0.130028 	 Accuracy : 0.829341
Epoch : 54 	 Error : 0.12992 	 Accuracy : 0.829341
Epoch : 55 	 Error : 0.129813 	 Accuracy : 0.829341
Epoch : 56 	 Error : 0.129706 	 Accuracy : 0.829341
Epoch : 57 	 Error : 0.1296 	 Accuracy : 0.829341
Epoch : 58 	 Error : 0.129495 	 Accuracy : 0.830838
