2024-03-19 20:49:15 : scalar : MinMaxScalar
2024-03-19 20:49:15 : train test split : 0.25
2024-03-19 20:49:15 : random state : 15
2024-03-19 20:49:15 : epochs : 100
2024-03-19 20:49:15 : learning rate : 0.0001
2024-03-19 20:49:15 : activation function : relu
2024-03-19 20:49:15 : loss function : mean_squared_error
2024-03-19 20:49:15 : Optimizer : Adam

2024-03-19 20:49:15 : The accuracy and error with respect to the epochs
Epoch : 1 	 Error : 8.769341 	 Accuracy : 0.616766
Epoch : 2 	 Error : 0.224855 	 Accuracy : 0.676647
Epoch : 3 	 Error : 0.187132 	 Accuracy : 0.799401
Epoch : 4 	 Error : 0.164948 	 Accuracy : 0.797904
Epoch : 5 	 Error : 0.154909 	 Accuracy : 0.796407
Epoch : 6 	 Error : 0.152339 	 Accuracy : 0.811377
Epoch : 7 	 Error : 0.150668 	 Accuracy : 0.812874
Epoch : 8 	 Error : 0.150482 	 Accuracy : 0.80988
Epoch : 9 	 Error : 0.150938 	 Accuracy : 0.808383
Epoch : 10 	 Error : 0.149957 	 Accuracy : 0.811377
Epoch : 11 	 Error : 0.148829 	 Accuracy : 0.808383
Epoch : 12 	 Error : 0.146787 	 Accuracy : 0.814371
Epoch : 13 	 Error : 0.147747 	 Accuracy : 0.781437
Epoch : 14 	 Error : 0.149453 	 Accuracy : 0.80988
Epoch : 15 	 Error : 0.146376 	 Accuracy : 0.812874
Epoch : 16 	 Error : 0.147375 	 Accuracy : 0.811377
Epoch : 17 	 Error : 0.148346 	 Accuracy : 0.811377
Epoch : 18 	 Error : 0.148941 	 Accuracy : 0.802395
Epoch : 19 	 Error : 0.146101 	 Accuracy : 0.818862
Epoch : 20 	 Error : 0.142368 	 Accuracy : 0.812874
Epoch : 21 	 Error : 0.140521 	 Accuracy : 0.817365
Epoch : 22 	 Error : 0.138261 	 Accuracy : 0.826347
Epoch : 23 	 Error : 0.137229 	 Accuracy : 0.817365
Epoch : 24 	 Error : 0.137199 	 Accuracy : 0.811377
Epoch : 25 	 Error : 0.137722 	 Accuracy : 0.817365
